排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'873', 'Mobility Radeon HD 4850', '用于笔记本电脑', '1.62', 'Terascale 1', '2009', '187 USD', '−'
'874', 'Radeon HD 7520G + HD 7670M Dual Graphics', '用于笔记本电脑', '1.62', 'Terascale 3', '2012', '90 USD', '−'
'875', 'Radeon R7 A360', '桌面', '1.62', 'GCN 3.0', '2015', '2500 USD', '−'
'876', 'GRID K160Q', '用于工作站', '1.61', 'Kepler', '2013', '−', '130 W'
'877', 'Radeon HD 2900 PRO', '桌面', '1.61', 'TeraScale', '2007', '−', '200 W'
'878', 'Radeon HD 7570', '桌面', '1.61', 'TeraScale 2', '2012', '67 USD', '60 W'
'879', 'GeForce GT 735M', '用于笔记本电脑', '1.61', 'Kepler', '2013', '310 USD', '33 W'
'880', 'GeForce 810A', '桌面', '1.60', 'Kepler 2.0', '2014', '−', '15 W'
'881', 'Radeon HD 6740G2', '用于笔记本电脑', '1.60', 'Terascale 2', '2011', '−', '−'
'882', 'GeForce GT 650M Mac Edition', '桌面', '1.59', 'Kepler', '2012', '50 USD', '45 W'
'883', 'GeForce 720A', '桌面', '1.58', 'Fermi 2.0', '2014', '639 USD', '33 W'
'884', 'Radeon HD 7640G + HD 7670M Dual Graphics', '用于笔记本电脑', '1.57', 'Terascale 3', '2012', '90 USD', '−'
'885', 'GeForce GT 720', '桌面', '1.57', 'Kepler 2.0', '2014', '394 USD', '19 W'
'886', 'Quadro K510M', '用于移动工作站', '1.57', 'Kepler', '2013', '−', '30 W'
'887', 'Radeon HD 8450G + Radeon HD 8570M Dual Graphics', '用于笔记本电脑', '1.56', 'Terascale 3 / GCN', '2012', '74 USD', '−'
'888', 'Radeon HD 7640G + HD 7610M Dual Graphics', '用于笔记本电脑', '1.56', 'Terascale 3', '2012', '90 USD', '−'
'889', 'GeForce GTS 250', '桌面', '1.56', 'Tesla', '2009', '131 USD', '150 W'
'890', 'Radeon HD 6720G2', '用于笔记本电脑', '1.56', 'Terascale 2', '2011', '−', '−'
'891', 'HD Graphics P4600', '桌面', '1.55', 'Generation 7.5', '2013', '225 USD', '84 W'
'892', 'Radeon R6 M255DX', '用于笔记本电脑', '1.55', 'GCN', '2014', '−', '−'
'893', 'GeForce GTX 660M Mac Edition', '桌面', '1.55', 'Kepler', '2013', '149 USD', '50 W'
'894', 'Quadro FX 3800M', '用于移动工作站', '1.55', 'G9x', '2009', '199 USD', '100 W'
'895', 'GeForce GT 430', '桌面', '1.55', 'Fermi', '2010', '59 USD', '49 W'
'896', 'GeForce GT 720A', '桌面', '1.54', 'Fermi 2.0', '2014', '639 USD', '33 W'
'897', 'Radeon R8 M365DX', '用于笔记本电脑', '1.54', 'GCN', '2015', '−', '−'
'898', 'UHD Graphics 615', '用于笔记本电脑', '1.53', 'Gen. 9 Amber Lake', '2018', '518 USD', '5 W'
'899', 'Radeon R5 M330', '用于笔记本电脑', '1.53', 'GCN 1.0', '2015', '−', '18 W'
'900', 'GeForce 8800 GTX', '桌面', '1.53', 'Tesla', '2006', '357 USD', '155 W'
'901', 'GeForce 910M', '用于笔记本电脑', '1.52', 'Kepler', '2015', '163 USD', '15 W'
'902', 'GeForce GT 550M', '用于笔记本电脑', '1.50', 'Fermi', '2011', '55 USD', '35 W'
'903', 'HD Graphics 5500', '用于笔记本电脑', '1.49', 'Gen. 8 Broadwell', '2015', '410 USD', '15 W'
'904', 'GeForce GT 820M', '桌面', '1.49', 'Fermi 2.0', '2013', '310 USD', '15 W'
'905', 'Radeon R5 A240', '桌面', '1.48', 'GCN 1.0', '2014', '−', '50 W'
'906', 'GeForce 8800 GTS 512', '桌面', '1.48', 'Tesla', '2007', '146 USD', '135 W'
'907', 'GeForce GTX 280M', '用于笔记本电脑', '1.48', 'G9x', '2009', '140 USD', '75 W'
'908', 'Radeon HD 7650A', '桌面', '1.47', 'TeraScale 2', '2012', '46 USD', '33 W'
'909', 'Quadro 1000M', '用于移动工作站', '1.47', 'Fermi', '2011', '129 USD', '45 W'
'910', 'Quadro 500M', '用于工作站', '1.47', 'Fermi', '2011', '58 USD', '35 W'
'911', 'GeForce GTS 250M', '用于笔记本电脑', '1.46', 'GT2xx', '2009', '230 USD', '28 W'
'912', 'Radeon HD 8550M', '用于笔记本电脑', '1.46', 'GCN', '2012', '338 USD', '−'
'913', 'Radeon HD 6610M', '桌面', '1.45', 'TeraScale 2', '2011', '338 USD', '26 W'
'914', 'Radeon R6 (Carrizo)', '用于笔记本电脑', '1.45', 'GCN 1.2/2.0', '2015', '−', '12 W'
'915', 'GeForce GT 635M', '用于笔记本电脑', '1.45', 'Fermi', '2011', '55 USD', '35 W'
'916', 'Radeon R7 M360', '用于笔记本电脑', '1.45', 'GCN 2.0', '2015', '879 USD', '−'
'917', 'Radeon HD 3870', '桌面', '1.44', 'TeraScale', '2007', '195 USD', '106 W'
'918', 'Radeon HD 6570', '桌面', '1.43', 'TeraScale 2', '2011', '66 USD', '60 W'
'919', 'GeForce 820A', '桌面', '1.42', 'Fermi 2.0', '2014', '238 USD', '15 W'
'920', 'GF117', '桌面', '1.42', 'Fermi 2.0', '−', '70 USD', '−'
'921', 'Radeon HD 6755G2', '用于笔记本电脑', '1.42', 'Terascale 2', '2011', '−', '−'
'922', 'Radeon HD 8650G', '用于笔记本电脑', '1.41', 'Terascale 3', '2013', '300 USD', '35 W'
'923', 'Radeon R5 M335', '用于笔记本电脑', '1.41', 'GCN 1.0', '2015', '891 USD', '−'
'924', 'GeForce 615', '桌面', '1.40', 'Fermi', '2012', '858 USD', '49 W'
'925', 'Mobility Radeon HD 5730', '用于笔记本电脑', '1.40', 'Terascale 2', '2010', '−', '26 W'
'926', 'Radeon HD 6570M', '用于笔记本电脑', '1.40', 'Terascale 2', '2010', '338 USD', '30 W'
'927', 'GeForce GT 630M', '用于笔记本电脑', '1.40', 'Fermi', '2011', '1121 USD', '35 W'
'928', 'Radeon R7 M265', '用于笔记本电脑', '1.40', 'GCN', '2014', '585 USD', '−'
'929', 'GeForce GT 435M', '用于笔记本电脑', '1.39', 'Fermi', '2010', '67 USD', '35 W'
'930', 'HD Graphics 5000', '用于笔记本电脑', '1.39', 'Gen. 7.5 Haswell', '2013', '489 USD', '30 W'
'931', 'Quadro 600', '用于工作站', '1.39', 'Fermi', '2010', '118 USD', '40 W'
'932', 'Radeon HD 8670D', '桌面', '1.38', 'Terascale 3', '2013', '89 USD', '100 W'
'933', 'Mobility Radeon HD 5830', '用于笔记本电脑', '1.38', 'Terascale 2', '2010', '−', '24 W'
'934', 'HD Graphics 510', '用于笔记本电脑', '1.38', 'Gen. 9 Skylake', '2015', '476 USD', '15 W'
'935', 'GRID K180Q', '用于工作站', '1.37', 'Kepler', '2013', '−', '130 W'
'936', 'Radeon R5 M255', '用于笔记本电脑', '1.37', 'GCN', '2014', '−', '−'
